,DateAndTime,Irradiance
173,01-07-2021 14:20,472.532
174,01-07-2021 14:25,195.351
175,01-07-2021 14:30,181.901
176,01-07-2021 14:35,782.053
177,01-07-2021 14:40,258.22
178,01-07-2021 14:45,663.641
179,01-07-2021 14:50,734.834
180,01-07-2021 14:55,853.221
181,01-07-2021 15:00,795.063
182,01-07-2021 15:05,525.296
183,01-07-2021 15:10,208.065
184,01-07-2021 15:15,790.704
185,01-07-2021 15:20,763.3
186,01-07-2021 15:25,711.157
187,01-07-2021 15:30,223.252
188,01-07-2021 15:35,687.308
189,01-07-2021 15:40,488.55
190,01-07-2021 15:45,601.154
191,01-07-2021 15:50,171.237
192,01-07-2021 15:55,233.447
193,01-07-2021 16:00,235.186
194,01-07-2021 16:05,181.969
195,01-07-2021 16:10,568.567
196,01-07-2021 16:15,320.363
197,01-07-2021 16:20,525.085
198,01-07-2021 16:25,357.873
199,01-07-2021 16:30,576.097
200,01-07-2021 16:35,194.746
201,01-07-2021 16:40,106.125
202,01-07-2021 16:45,88.066
203,01-07-2021 16:50,85.096
204,01-07-2021 16:55,82.816
205,01-07-2021 17:00,78.369
206,01-07-2021 17:05,116.74
207,01-07-2021 17:10,70.442
208,01-07-2021 17:15,95.56
209,01-07-2021 17:20,127.688
210,01-07-2021 17:25,101.811
211,01-07-2021 17:30,75.324
212,01-07-2021 17:35,64.427
213,01-07-2021 17:40,61.597
214,01-07-2021 17:45,64.929
215,01-07-2021 17:50,127.335
216,01-07-2021 17:55,89.242
217,01-07-2021 18:00,133.874
218,01-07-2021 18:05,101.558
219,01-07-2021 18:10,55.168
220,01-07-2021 18:15,37.23
221,01-07-2021 18:20,26.708
222,01-07-2021 18:25,27.309
223,01-07-2021 18:30,25.379
224,01-07-2021 18:35,19.604
225,01-07-2021 18:40,13.457
226,01-07-2021 18:45,7.149
227,01-07-2021 18:50,4.335
228,01-07-2021 18:55,1.738
229,01-07-2021 19:00,0
230,01-07-2021 19:05,0
231,01-07-2021 19:10,0
232,01-07-2021 19:15,0
233,01-07-2021 19:20,0
234,01-07-2021 19:25,0
235,01-07-2021 19:30,0
236,01-07-2021 19:35,0
237,01-07-2021 19:40,0
238,01-07-2021 19:45,0
239,01-07-2021 19:50,0
240,01-07-2021 19:55,0
241,01-07-2021 20:00,0
242,01-07-2021 20:05,0
243,01-07-2021 20:10,0
244,01-07-2021 20:15,0
245,01-07-2021 20:20,0
246,01-07-2021 20:25,0
247,01-07-2021 20:30,0
248,01-07-2021 20:35,0
249,01-07-2021 20:40,0
250,01-07-2021 20:45,0
251,01-07-2021 20:50,0
252,01-07-2021 20:55,0
